date	Community-based family support	Baby and Child Institutions	Child Protection	Foster Care
13/05/2018	27.10600707	36.4664311	12.07773852	24.34982332
22/05/2018	27.26855124	36.38162544	12.06360424	24.28621908
31/05/2018	27.43109541	36.29681979	12.04946996	24.22261484
9/06/2018	27.59363958	36.21201413	12.03533569	24.1590106
18/06/2018	27.75618375	36.12720848	12.02120141	24.09540636
27/06/2018	27.91872792	36.04240283	12.00706714	24.03180212
6/07/2018	28.08127208	35.95759717	11.99293286	23.96819788
15/07/2018	28.24381625	35.87279152	11.97879859	23.90459364
24/07/2018	28.40636042	35.78798587	11.96466431	23.8409894
2/08/2018	28.56890459	35.70318021	11.95053004	23.77738516
11/08/2018	28.73144876	35.61837456	11.93639576	23.71378092
20/08/2018	28.89399293	35.5335689	11.92226148	23.65017668
29/08/2018	29.0565371	35.44876325	11.90812721	23.58657244
7/09/2018	29.21908127	35.3639576	11.89399293	23.5229682
16/09/2018	29.38162544	35.27915194	11.87985866	23.45936396
25/09/2018	29.54416961	35.19434629	11.86572438	23.39575972
4/10/2018	29.70671378	35.10954064	11.85159011	23.33215548
13/10/2018	29.86925795	35.02473498	11.83745583	23.26855124
22/10/2018	30.03180212	34.93992933	11.82332155	23.204947
31/10/2018	30.19434629	34.85512367	11.80918728	23.14134276
9/11/2018	30.35689046	34.77031802	11.795053	23.07773852
18/11/2018	30.51943463	34.68551237	11.78091873	23.01413428
27/11/2018	30.6819788	34.60070671	11.76678445	22.95053004
6/12/2018	30.84452297	34.51590106	11.75265018	22.8869258
15/12/2018	31.00706714	34.43109541	11.7385159	22.82332155
24/12/2018	31.16961131	34.34628975	11.72438163	22.75971731
2/01/2019	31.33215548	34.2614841	11.71024735	22.69611307
11/01/2019	31.49469965	34.17667845	11.69611307	22.63250883
20/01/2019	31.65724382	34.09187279	11.6819788	22.56890459
29/01/2019	31.81978799	34.00706714	11.66784452	22.50530035
7/02/2019	31.98233216	33.92226148	11.65371025	22.44169611
16/02/2019	32.14487633	33.83745583	11.63957597	22.37809187
25/02/2019	32.30742049	33.75265018	11.6254417	22.31448763
6/03/2019	32.46996466	33.66784452	11.61130742	22.25088339
15/03/2019	32.63250883	33.58303887	11.59717314	22.18727915
24/03/2019	32.795053	33.49823322	11.58303887	22.12367491
2/04/2019	32.95759717	33.41342756	11.56890459	22.06007067
11/04/2019	33.12014134	33.32862191	11.55477032	21.99646643
20/04/2019	33.28268551	33.24381625	11.54063604	21.93286219
29/04/2019	33.44522968	33.1590106	11.52650177	21.86925795
